ball_event_id,innings_id,over_number,ball_number,striker_id,batter_name,bowler_id,runs_off_bat,extras,phase,current_run_rate,required_run_rate,pressure_index,expected_runs,expected_wicket_probability,shot_risk_score,batter_control_score,target_is_wicket,shot_type,shot_zone,ball_impact_score,batting_form_index,innings_batting_form_index
62,1,9,5,1,Aarav Sharma,25,0,0,middle,11.49,0.0,0.164,1.555,0.024,0.545,0.61,0,clip,silly_mid_on,0.4628,0.5970247173193496,0.5970247173193496
63,1,9,6,1,Aarav Sharma,25,1,0,middle,11.4,0.0,0.167,1.554,0.025,0.547,0.54,0,lofted,deep_cover,0.5424475,0.5888381347214471,0.5888381347214471
64,1,10,1,1,Aarav Sharma,29,1,0,middle,11.31,0.0,0.17,1.448,0.035,0.548,0.543,0,defence,third_point,0.54373125,0.58207210201323,0.58207210201323
65,1,10,2,15,Manan Gaur,29,0,0,middle,11.13,0.0,0.173,1.539,0.032,0.628,0.535,0,sweep,long_on,0.42314625000000006,0.589431810863456,0.589431810863456
66,1,10,3,15,Manan Gaur,29,0,0,middle,10.95,0.0,0.176,1.537,0.032,0.629,0.63,0,flick,cover_point_inside,0.46594500000000005,0.5709087892339376,0.5709087892339376
67,1,10,4,15,Manan Gaur,29,0,0,middle,10.78,0.0,0.179,1.536,0.032,0.631,0.633,0,lofted,mid_on_inside,0.46715874999999996,0.555346283348847,0.555346283348847
68,1,10,5,15,Manan Gaur,29,0,0,middle,10.62,0.0,0.181,1.535,0.033,0.631,0.578,0,drive,deep_cover,0.44233999999999996,0.53839534084652,0.53839534084652
70,1,10,6,15,Manan Gaur,29,4,0,middle,11.45,0.0,0.184,1.534,0.033,0.783,0.64,0,straight_drive,square_leg_inside,0.738115,0.568353289719542,0.568353289719542
71,1,11,1,1,Aarav Sharma,22,1,0,middle,11.37,0.0,0.187,1.517,0.028,0.556,0.547,0,glance,short_leg,0.54497625,0.5765077242112455,0.5765077242112455
72,1,11,2,15,Manan Gaur,22,0,0,middle,11.21,0.0,0.19,1.608,0.026,0.636,0.66,0,sweep,cover_point_inside,0.47899250000000004,0.5549491712616107,0.5549491712616107
73,1,11,3,15,Manan Gaur,22,2,0,middle,11.22,0.0,0.193,1.606,0.026,0.637,0.583,0,lofted,long_off,0.6112387499999999,0.563392608072369,0.563392608072369
74,1,11,4,15,Manan Gaur,22,1,0,middle,11.14,0.0,0.196,1.605,0.026,0.638,0.658,0,ramp,straight_inside,0.589325,0.5672824668615136,0.5672824668615136
75,1,11,5,1,Aarav Sharma,22,0,0,middle,10.99,0.0,0.198,1.512,0.029,0.561,0.645,0,on_drive,mid_on_area,0.47747375000000003,0.5616526280795587,0.5616526280795587
76,1,11,6,1,Aarav Sharma,22,4,0,middle,11.17,0.0,0.201,1.511,0.029,0.712,0.529,0,cover_drive,fine_leg,0.69299625,0.5813541713676249,0.5813541713676249
77,1,12,1,15,Manan Gaur,24,0,0,middle,11.01,0.0,0.204,1.602,0.026,0.642,0.579,1,slog,deep_square_leg,0.11970743749999997,0.5001462124572866,0.5001462124572866
78,1,12,2,6,Devansh Kulkarni,24,3,0,middle,11.11,0.0,0.233,1.654,0.034,0.769,0.516,0,reverse_sweep,cover_inside,0.6088899999999999,0.5163335,0.5163335
79,1,12,3,1,Aarav Sharma,24,1,0,middle,11.04,0.0,0.236,1.496,0.03,0.578,0.638,0,scoop,third_point,0.5845,0.5818260456624812,0.5818260456624812
80,1,12,4,6,Devansh Kulkarni,24,1,0,middle,10.97,0.0,0.239,1.652,0.034,0.772,0.52,0,drive,silly_mid_wicket,0.5176725,0.5165343499999999,0.5165343499999999
81,1,12,5,1,Aarav Sharma,24,1,0,middle,10.91,0.0,0.241,1.494,0.031,0.58,0.631,0,upper_cut,third_point,0.58120125,0.581732326313109,0.581732326313109
82,1,12,6,6,Devansh Kulkarni,24,0,0,middle,10.77,0.0,0.244,1.65,0.034,0.774,0.655,0,clip,silly_mid_wicket,0.46707624999999997,0.5091156349999999,0.5091156349999999
83,1,13,1,1,Aarav Sharma,23,0,0,middle,10.63,0.0,0.247,1.511,0.029,0.583,0.665,0,upper_cut,deep_square_leg,0.48495875,0.5672162898661426,0.5672162898661426
84,1,13,2,1,Aarav Sharma,23,1,0,middle,10.57,0.0,0.25,1.509,0.029,0.584,0.614,0,sweep,silly_mid_on,0.5732499999999999,0.5681213463862212,0.5681213463862212
85,1,13,3,6,Devansh Kulkarni,23,1,0,middle,10.52,0.0,0.253,1.665,0.033,0.778,0.577,0,slog,straight_inside,0.546825,0.51477203975,0.51477203975
86,1,13,4,1,Aarav Sharma,23,0,0,middle,10.39,0.0,0.256,1.507,0.03,0.587,0.59,0,late_cut,mid_on_inside,0.45360999999999996,0.550944644428288,0.550944644428288
87,1,13,5,1,Aarav Sharma,23,4,0,middle,10.55,0.0,0.258,1.506,0.03,0.738,0.619,0,slog,cover_inside,0.7374850000000001,0.5789256977640449,0.5789256977640449
88,1,13,6,1,Aarav Sharma,23,0,0,middle,10.43,0.0,0.261,1.505,0.03,0.589,0.567,0,flick,third_point,0.443005,0.5585375930994382,0.5585375930994382
89,1,14,1,6,Devansh Kulkarni,25,3,0,middle,10.52,0.0,0.264,1.67,0.033,0.783,0.588,0,defence,third_point,0.64523,0.5343407337875,0.5343407337875
90,1,14,2,1,Aarav Sharma,25,0,0,middle,10.4,0.0,0.267,1.512,0.029,0.592,0.558,0,late_cut,point_inside,0.4387,0.5405619541345225,0.5405619541345225
91,1,14,3,1,Aarav Sharma,25,0,2,middle,10.41,0.0,0.27,1.51,0.029,0.593,0.625,0,cover_drive,silly_point,0.46911499999999995,0.529844911014344,0.529844911014344
93,1,14,4,1,Aarav Sharma,25,2,0,middle,10.5,0.0,0.273,1.509,0.029,0.594,0.592,0,lofted,point_inside,0.6227799999999999,0.5437851743621924,0.5437851743621924
94,1,14,5,1,Aarav Sharma,25,0,0,middle,10.38,0.0,0.275,1.508,0.029,0.595,0.549,0,cover_drive,deep_cover,0.4343950000000001,0.5273766482078636,0.5273766482078636
95,1,14,6,1,Aarav Sharma,25,1,0,middle,10.33,0.0,0.278,1.507,0.03,0.597,0.677,0,glance,fine_leg_inside,0.604995,0.539019400976684,0.539019400976684
96,1,15,1,1,Aarav Sharma,29,4,0,death,10.48,0.0,0.281,1.401,0.058,0.748,0.588,0,lofted_drive,mid_on_inside,0.72268,0.5665684908301815,0.5665684908301815
97,1,15,2,1,Aarav Sharma,29,1,0,death,10.43,0.0,0.284,1.4,0.058,0.599,0.489,0,lofted_drive,square_leg_inside,0.519315,0.5594804672056543,0.5594804672056543
98,1,15,3,6,Devansh Kulkarni,29,0,0,death,10.32,0.0,0.287,1.556,0.062,0.793,0.612,0,scoop,third_point,0.44920000000000004,0.521569623719375,0.521569623719375
99,1,15,4,6,Devansh Kulkarni,29,0,0,death,10.21,0.0,0.29,1.554,0.062,0.795,0.595,0,straight_drive,mid_on_inside,0.44132499999999997,0.5095329301614687,0.5095329301614687
100,1,15,5,6,Devansh Kulkarni,29,6,0,death,10.48,0.0,0.292,1.553,0.062,0.946,0.543,0,glance,square_leg_inside,0.725845,0.5419797406372484,0.5419797406372484
101,1,15,6,6,Devansh Kulkarni,29,1,0,death,10.44,0.0,0.295,1.552,0.062,0.797,0.585,0,clip,deep_square_leg,0.549135,0.5430530295416611,0.5430530295416611
102,1,16,1,6,Devansh Kulkarni,23,2,0,death,10.45,0.0,0.298,1.646,0.053,0.798,0.633,0,glance,short_leg,0.627155,0.555668325110412,0.555668325110412
103,1,16,2,6,Devansh Kulkarni,23,6,0,death,10.71,0.0,0.301,1.645,0.053,0.95,0.651,0,pull,short_leg,0.774705,0.5885238263438501,0.5885238263438501
104,1,16,3,6,Devansh Kulkarni,23,0,0,death,10.61,0.0,0.304,1.644,0.053,0.801,0.646,0,glance,short_leg,0.46411,0.5698617523922725,0.5698617523922725
105,1,16,4,6,Devansh Kulkarni,23,4,0,death,10.74,0.0,0.307,1.642,0.053,0.952,0.526,0,lofted_drive,point_inside,0.6801900000000001,0.5864109895334317,0.5864109895334317
106,1,16,5,6,Devansh Kulkarni,23,1,0,death,10.69,0.0,0.309,1.642,0.054,0.803,0.583,0,lofted_drive,mid_off,0.547805,0.580620091103417,0.580620091103417
107,1,16,6,1,Aarav Sharma,23,1,0,death,10.65,0.0,0.312,1.483,0.05,0.612,0.575,0,drive,deep_extra_cover,0.557535,0.5591886471248061,0.5591886471248061
108,1,17,1,1,Aarav Sharma,22,0,0,death,10.54,0.0,0.315,1.463,0.052,0.613,0.622,0,cover_drive,mid_on_inside,0.46635000000000004,0.5452628500560852,0.5452628500560852
109,1,17,2,1,Aarav Sharma,22,4,0,death,10.67,0.0,0.318,1.462,0.052,0.765,0.629,0,hook,square_leg_inside,0.7401449999999999,0.5744951725476725,0.5744951725476725
110,1,17,3,1,Aarav Sharma,22,4,0,death,10.8,0.0,0.321,1.46,0.052,0.766,0.639,0,hook,cover_inside,0.744625,0.6000146466655216,0.6000146466655216
111,1,17,4,1,Aarav Sharma,22,0,0,death,10.7,0.0,0.324,1.459,0.052,0.617,0.635,0,flick,deep_extra_cover,0.471985,0.5808101996656934,0.5808101996656934
112,1,17,5,1,Aarav Sharma,22,1,0,death,10.65,0.0,0.326,1.458,0.053,0.618,0.644,0,ramp,straight_inside,0.5885100000000001,0.5819651697158393,0.5819651697158393
113,1,17,6,6,Devansh Kulkarni,22,6,0,death,10.89,0.0,0.329,1.614,0.056,0.962,0.614,0,on_drive,fine_leg_inside,0.75703,0.6070815774379045,0.6070815774379045
114,1,18,1,1,Aarav Sharma,25,0,0,death,10.79,0.0,0.332,1.484,0.05,0.621,0.615,0,lofted_drive,long_on,0.46260500000000004,0.5640611442584634,0.5640611442584634
115,1,18,2,1,Aarav Sharma,25,0,0,death,10.69,0.0,0.335,1.483,0.05,0.622,0.558,1,hook,mid_off,0.11780999999999997,0.4971234726196939,0.4971234726196939
116,1,18,3,13,Krish Vyas,25,0,0,death,10.59,0.0,0.364,1.431,0.055,0.657,0.591,0,reverse_sweep,short_leg,0.4491649999999999,0.49237474999999997,0.49237474999999997
117,1,18,4,13,Krish Vyas,25,2,0,death,10.61,0.0,0.367,1.43,0.055,0.658,0.508,0,ramp,mid_off,0.58008,0.5055305375,0.5055305375
118,1,18,5,13,Krish Vyas,25,0,0,death,10.51,0.0,0.369,1.429,0.055,0.659,0.534,0,straight_drive,square_leg_inside,0.42308999999999997,0.493164456875,0.493164456875
119,1,18,6,13,Krish Vyas,25,0,0,death,10.42,0.0,0.372,1.428,0.055,0.66,0.567,0,sweep,silly_point,0.43803499999999995,0.48489503834375,0.48489503834375
120,1,19,1,6,Devansh Kulkarni,24,1,0,death,10.38,0.0,0.375,1.595,0.058,0.833,0.568,1,flick,deep_extra_cover,0.153608,0.5390605408222188,0.5390605408222188
121,1,19,2,13,Krish Vyas,24,0,0,death,10.29,0.0,0.404,1.386,0.059,0.675,0.506,0,cut,silly_point,0.40923,0.4735452825921875,0.4735452825921875
122,1,19,3,13,Krish Vyas,24,1,0,death,10.26,0.0,0.407,1.384,0.059,0.676,0.534,0,ramp,fine_leg_inside,0.5344,0.48267349020335937,0.48267349020335937
123,1,19,4,2,Vivaan Rao,24,1,0,death,10.22,0.0,0.41,1.269,0.064,0.642,0.542,0,reverse_sweep,long_on,0.54042,0.506063,0.506063
124,1,19,5,13,Krish Vyas,24,3,0,death,10.29,0.0,0.412,1.382,0.06,0.678,0.506,0,paddle_sweep,silly_mid_on,0.61527,0.5025629666728555,0.5025629666728555
125,1,19,6,2,Vivaan Rao,24,2,0,death,10.3,0.0,0.415,1.267,0.064,0.644,0.465,0,square_cut,fine_leg_inside,0.561495,0.5143778,0.5143778
127,2,0,1,27,Pranav Joshi,7,4,0,powerplay,30.0,10.18,0.294,1.359,0.049,0.818,0.52,0,slog,fine_leg,0.68684,0.528026,0.528026
128,2,0,2,27,Pranav Joshi,7,1,0,powerplay,18.0,10.22,0.294,1.359,0.049,0.668,0.444,0,scoop,cover_point_inside,0.49401000000000006,0.5229236,0.5229236
130,2,0,3,30,Ritvik Sen,7,1,0,powerplay,16.0,10.21,0.296,1.427,0.056,0.747,0.476,0,straight_drive,fine_leg_inside,0.50304,0.500456,0.500456
131,2,0,4,27,Pranav Joshi,7,0,0,powerplay,12.0,10.29,0.3,1.357,0.049,0.671,0.426,0,hook,deep_cover,0.37311000000000005,0.50045156,0.50045156
132,2,0,5,27,Pranav Joshi,7,2,0,powerplay,12.0,10.28,0.305,1.355,0.05,0.673,0.521,0,glance,deep_square_leg,0.584945,0.5131255760000001,0.5131255760000001
133,2,0,6,27,Pranav Joshi,7,1,0,powerplay,11.0,10.32,0.308,1.354,0.05,0.674,0.543,0,pull,third_point,0.5386350000000001,0.5169519896000001,0.5169519896000001
134,2,1,1,27,Pranav Joshi,9,0,0,powerplay,9.43,10.41,0.312,1.39,0.046,0.676,0.569,0,paddle_sweep,mid_on_area,0.437825,0.5050829411600001,0.5050829411600001
135,2,1,2,27,Pranav Joshi,9,1,0,powerplay,9.0,10.45,0.317,1.388,0.047,0.678,0.447,0,upper_cut,deep_extra_cover,0.494675,0.5035217499860001,0.5035217499860001
136,2,1,3,30,Ritvik Sen,9,1,0,powerplay,8.67,10.49,0.321,1.455,0.054,0.759,0.591,0,late_cut,deep_square_leg,0.554525,0.50856635,0.50856635
137,2,1,4,27,Pranav Joshi,9,1,0,powerplay,8.4,10.53,0.325,1.384,0.047,0.682,0.47,0,sweep,short_leg,0.50486,0.5037224874881001,0.5037224874881001
138,2,1,5,30,Ritvik Sen,9,0,0,powerplay,7.64,10.62,0.329,1.452,0.054,0.762,0.515,0,late_cut,mid_on_area,0.407235,0.4933666475,0.4933666475
139,2,1,6,30,Ritvik Sen,9,4,0,powerplay,9.0,10.5,0.335,1.449,0.055,0.915,0.518,0,hook,point_inside,0.6791400000000001,0.521232650375,0.521232650375
140,2,2,1,27,Pranav Joshi,14,0,2,powerplay,9.23,10.49,0.334,1.381,0.047,0.686,0.591,0,cover_drive,deep_extra_cover,0.44713499999999995,0.4952343643648851,0.4952343643648851
141,2,2,2,27,Pranav Joshi,14,1,0,powerplay,9.0,10.53,0.337,1.379,0.047,0.687,0.557,0,defence,long_on,0.544095,0.5025634597101524,0.5025634597101524
142,2,2,3,30,Ritvik Sen,14,6,0,powerplay,10.8,10.29,0.341,1.447,0.055,0.918,0.488,0,defence,deep_square_leg,0.70278,0.54846475281875,0.54846475281875
143,2,2,4,30,Ritvik Sen,14,4,0,powerplay,11.62,10.15,0.336,1.449,0.055,0.915,0.443,0,flick,short_leg,0.645015,0.5629472898959375,0.5629472898959375
144,2,2,5,30,Ritvik Sen,14,2,0,powerplay,11.65,10.14,0.335,1.449,0.055,0.765,0.448,0,square_cut,mid_off,0.5452899999999999,0.5602986964115468,0.5602986964115468
145,2,2,6,30,Ritvik Sen,14,4,0,powerplay,12.33,10.0,0.338,1.448,0.055,0.916,0.575,0,clip,cover_inside,0.705005,0.5820046419498148,0.5820046419498148
146,2,3,1,27,Pranav Joshi,8,1,0,powerplay,12.0,10.04,0.337,1.437,0.042,0.687,0.516,0,paddle_sweep,cover_inside,0.52544,0.5059949407536295,0.5059949407536295
147,2,3,2,30,Ritvik Sen,8,6,0,powerplay,13.2,9.78,0.341,1.504,0.049,0.918,0.619,0,clip,fine_leg,0.762385,0.6090616956573426,0.6090616956573426
148,2,3,3,30,Ritvik Sen,8,0,0,powerplay,12.57,9.88,0.336,1.506,0.049,0.765,0.576,0,on_drive,point_inside,0.43478000000000006,0.5829194413087412,0.5829194413087412
149,2,3,4,30,Ritvik Sen,8,1,0,powerplay,12.27,9.92,0.342,1.503,0.049,0.768,0.6,0,glance,mid_on_inside,0.55799,0.5791800251124299,0.5791800251124299
150,2,3,5,27,Pranav Joshi,8,1,0,powerplay,12.0,9.96,0.346,1.433,0.042,0.691,0.48,0,reverse_sweep,silly_mid_on,0.50878,0.5064126996405851,0.5064126996405851
152,2,3,6,26,Lakshya Goyal,8,4,0,powerplay,12.75,9.75,0.374,1.284,0.037,0.711,0.589,0,lofted_drive,mid_off,0.725725,0.53385875,0.53385875
154,2,4,1,27,Pranav Joshi,10,2,0,powerplay,12.96,9.66,0.371,1.432,0.043,0.703,0.52,0,square_cut,silly_mid_on,0.5823900000000001,0.5178092946944973,0.5178092946944973
155,2,4,2,27,Pranav Joshi,10,1,0,powerplay,12.69,9.7,0.373,1.431,0.043,0.704,0.562,0,flick,long_off,0.54518,0.5219149004903227,0.5219149004903227
